"programme","funding_body","country","disqualifying_clause_verbatim","source_url","note","date_retrieved"
"NSF Graduate Research Fellowship Program (GRFP), NSF 26-526 - citizenship","U.S. National Science Foundation","USA","""Applicants must be U.S. citizens, nationals, or permanent residents (\""green card\"" holders) by the application deadline, and if offered a fellowship, at the time of acceptance."" ""... nor does it refer to an individual present in the U.S. on any type of visa.""","https://www.nsf.gov/funding/opportunities/grfp-nsf-graduate-research-fellowship-program/nsf26-526/solicitation","Stipend USD 37,000/yr x 3 yrs + USD 16,000 COE; Geosciences deadline 23 Oct 2026 - irrelevant to him.","2026-09-07"
"NSF GRFP - prior graduate study (independent second bar)","U.S. National Science Foundation","USA","""Level 1: Undergraduate - ... bachelor's degree holders with no prior graduate degree enrollment."" ""Level 2: Graduate - ... current first-year graduate students in their first graduate degree program with less than one academic year completed"". ""Second-year graduate students are not eligible to apply.""","https://www.nsf.gov/funding/opportunities/grfp-nsf-graduate-research-fellowship-program/nsf26-526/solicitation","Two completed M.Sc. degrees + 2016-18 doctoral enrolment disqualify even a US citizen.","2026-09-07"
"Hertz Fellowship","Fannie and John Hertz Foundation","USA","Applicants must ""be citizens or permanent residents of the United States."" Also must ""be college seniors, first-year graduate students, or in a gap period preparing to apply to graduate school"".","https://www.hertzfoundation.org/hertz-fellowship/who-can-apply/","Stage bar independent of citizenship.","2026-09-07"
"DOE Computational Science Graduate Fellowship (CSGF)","U.S. DOE / Krell Institute","USA","""The DOE CSGF is open to U.S. citizens or lawful permanent residents""; not eligible: ""Second-year or beyond graduate students"".","https://www.krellinst.org/csgf/about-doe-csgf/eligibility-program-requirements","","2026-09-07"
"ARCS Foundation Scholar Awards","ARCS Foundation","USA","""Must be a U.S. citizen."" (Oregon chapter: ""Recipients of ARCS awards are U.S. citizens or permanent residents"")","https://grad.uci.edu/funding/current-fellowships/arcs-scholar-awards-i/","University-nominated, not applied for.","2026-09-07"
"Dr. Nancy Foster Scholarship Program","NOAA Office of National Marine Sanctuaries","USA","""United States citizens, permanent residents or a citizen of a U.S. territory that are attending U.S. accredited institutions ... are eligible to apply""; ""If you are pursuing a degree ... at a foreign institution, you are NOT eligible to apply"".","https://sanctuaries.noaa.gov/foster-scholars/faqs.html","No new scholars selected in 2025; FY27 NOFO expected mid-Sep 2026.","2026-09-07"
"NDSEG Fellowship","U.S. Department of Defense","USA","""awarded to U.S. citizen or national applicants (undergraduate or first- or second-year graduate students)""","https://mit.whoi.edu/admissions/funding/graduate-fellowship-opportunities/","Quoted from MIT-WHOI fellowship list.","2026-09-07"
"AMS Graduate Fellowship","American Meteorological Society","USA","""a student must be U.S. citizens or hold permanent resident status, entering their first year of graduate school""","https://mit.whoi.edu/admissions/funding/graduate-fellowship-opportunities/","","2026-09-07"
"NOAA NMFS / Sea Grant Joint Fellowship","NOAA / Sea Grant","USA","""U.S. citizens enrolled in a Ph.D. program in the U.S. and its territories are eligible to apply.""","https://mit.whoi.edu/admissions/funding/graduate-fellowship-opportunities/","","2026-09-07"
"SMART Scholarship-for-Service","U.S. Department of Defense","USA","""All awardees must be: a citizen of the United States, Australia, Canada, New Zealand, or United Kingdom at time of application""","https://mit.whoi.edu/admissions/funding/graduate-fellowship-opportunities/","Germany not listed.","2026-09-07"
"Schmidt Ocean Institute Student Opportunities","Schmidt Ocean Institute","USA","""Schmidt Ocean Institute ... is a non-grant giving organization and the Student Opportunities positions are not funded and scholarships are not available.""","https://schmidtocean.org/apply/student-opportunities-hidden/student-opportunity-frequently-asked-questions/","Sea berths only - no PhD money.","2026-09-07"
