"sort_date","deadline","programme","country","what_must_be_ready_by_then_and_lead_time","fixed_or_rolling","date_retrieved"
"2026-09-10","10 Sep 2026","VU Amsterdam MAGMAS PhD posts (mantle geochemistry - poor fit)","Netherlands","CV, motivation, referees. No test. Employment application only.","fixed (per vacancy)","2026-09-07"
"2026-09-11","11 Sep 2026","University of Sydney RTP international (RP1-2 2027) - unreachable","Australia","Admission + scholarship form + English evidence; use the 18 Dec 2026 round instead.","fixed","2026-09-07"
"2026-09-14","14 Sep 2026","Plymouth SERVO - student-led project idea route (supervisor deadline)","UK","A Plymouth academic partner willing to co-write a project; unrealistic at one week's notice - wait for advertised projects instead.","fixed (supervisor route)","2026-09-07"
"2026-09-15","15 Sep 2026 11:59pm AWST","UWA 2027 International RTP Stipend and Tuition Fee Scholarships","Australia","Evidence of SECURED supervision (e-mail), English evidence (IELTS 6.5) by the deadline, transcripts incl. incomplete degrees, thesis, CV, 2 referees. Unreachable this year -> 2028 round ~Aug-Sep 2027.","fixed annual","2026-09-07"
"2026-09-16","16 Sep 2026","GEOMAR Doktorand:in Marine Data Science (example institute vacancy)","Germany","CV, motivation, transcripts, referees. No proposal. Poor field fit - template only.","fixed (per vacancy)","2026-09-07"
"2026-09-21","21 Sep 2026 23:59 BST","IODP3 Expedition 503 call for participation (berth, not funding)","International","Defined science role + institutional backing; no stipend stated.","fixed","2026-09-07"
"2026-09-28","28 Sep 2026","Naturalis 'North Sea Power' PhD (ecosystem modelling)","Netherlands","CV, motivation. No test.","fixed (per vacancy)","2026-09-07"
"2026-10-01","1 Oct 2026 23:59","Rosa-Luxemburg-Stiftung Promotionsstipendium","Germany","Doctoral admission certificate + supervisor; 2 references; documented left-political engagement over the last 18 MONTHS (bottleneck); exposé; no late documents. Realistic only if the engagement record already exists.","fixed (also ~April)","2026-09-07"
"2026-10-01","1 Oct 2026","Avicenna-Studienwerk Promotionsstipendium (Muslim applicants only)","Germany","Doctoral admission at German university; C1 language proof (TestDaF ok); references; exposé.","fixed (1 Apr / 1 Oct)","2026-09-07"
"2026-10-01","1-14 Oct 2026 (call window)","Studienstiftung des deutschen Volkes Promotionsförderung","Germany","Admission to the doctorate at the awarding university + supervisor support + research proposal (+1-page justification if abroad). Supervisor must be secured BEFORE the window: lead time 6-10 weeks -> effectively now. If missed: 1-14 Feb 2027.","fixed calls (Oct/Feb/Jun)","2026-09-07"
"2026-10-01","1 Oct 2026 11.59pm AEST","University of Tasmania / IMAS - TGRS + RTP international round (2027 start)","Australia","Mandatory signed Supervisory Support form from an IMAS supervisor (4-8 weeks normally); ~2-page proposal; transcripts; IELTS 7.0 / TOEFL 94 / PTE 65 result IN HAND at application. Tuition fee offset competed separately; OSHC (~AUD 4,467) and visa self-paid. Outcomes 4 Dec 2026.","fixed (rounds through the year; some domestic-only)","2026-09-07"
"2026-10-02","2 Oct 2026","Utrecht PhD turbidity-current modelling (field 4)","Netherlands","CV, motivation, referees. No test.","fixed (per vacancy)","2026-09-07"
"2026-10-05","5 Oct 2026","MSCA-DN POLARIS posts (biomedical - template only; German node barred by mobility rule)","EU","CV, motivation; mobility-rule check (not >12 of last 36 months in host country).","fixed (per vacancy)","2026-09-07"
"2026-10-07","7 Oct 2026 13:59","Fulbright Doktorand:innenprogramm 2027-28 (4-6 month US stay)","USA (via Germany)","Requires CURRENT enrolment in a German doctorate -> not usable this cycle; for a 2028-29 stay apply autumn 2027 with US host invitation letter (4-6 months lead), 6-page research objective, 2 professorial references.","fixed annual","2026-09-07"
"2026-10-15","15 Oct 2026","University of Canterbury UC Doctoral Scholarship (starts before 1 Jul 2027)","New Zealand","Supervisor in School of Earth & Environment / Gateway Antarctica; admission application; IELTS/TOEFL (unverified at UC); written ruling on 'first research doctoral degree'.","fixed (May / Oct rounds)","2026-09-07"
