"programme","funding_body","country","application_url","status","type_label","citizenship_rule_verbatim","prior_doctoral_enrolment_rule_verbatim","age_or_time_since_degree_limit","money_what_is_covered_and_not","duration","deadline_and_round_status","portable_or_tied","field_fit_1to5","date_retrieved"
"Promotionsförderung (Promotionsstipendium)","Studienstiftung des deutschen Volkes","Germany (doctorate abroad possible for German citizens with justification)","https://www.studienstiftung.de/infos-fuer-promovierende/promotionsfoerderung-der-studienstiftung/bewerbung","ELIGIBLE","SCHOLARSHIP (portable)","For a doctorate abroad: ""dies setzt bei Promovierenden die deutsche Staatsbürgerschaft oder eine in Deutschland erworbene Hochschulzugangsberechtigung voraus."" FAQ ""Kann ich im Ausland promovieren?"" -> ""Ja, unter bestimmten Voraussetzungen"" (one-page justification required).","No clause on prior enrolment. Nearest: ""In der Regel fördern wir nur die erste Promotion"" (FAQ). Funding start: ""Die Förderung kann erst einsetzen, sobald in Vollzeit an der Dissertation gearbeitet wird."" FLAG: disclose the 2016-18 enrolment; ""erste Promotion"" is about a completed first doctorate, but ask in writing.","""Zum Zeitpunkt der Bewerbung darf der letzte Studienabschluss nicht länger als vier Jahre und drei Monate zurückliegen."" Clock runs from the Bremen M.Sc. (23 Mar 2026) -> inside window until ~Jun 2030. No age limit stated.","EUR 1,650/month stipend + Forschungskostenpauschale max EUR 100/month = ""bis zu 1.750 Euro pro Monat"" (2025/26 BMFTR rate). Health insurance: 50% of costs, max EUR 100/month. Earnings allowance EUR 3,070/yr. Travel/tuition abroad on application. NOT covered: pension, unemployment insurance, employer social security (stipend, not employment). German universities charge no tuition (semester fee ~EUR 300-400).","3 years + 6 months on request; max 42 months (54 with children)","Fixed call windows: 1-14 Oct 2026; 1-14 Feb 2027; 1-14 Jun 2027; 1-14 Oct 2027 (new call procedure since summer 2026). Decision ~7 months after call. Annual/recurring.","PORTABLE (bring to any German university; abroad with justification)","1-5, no subject restriction","2026-09-07"
"Promotionsstipendium / Promotionsförderung","Konrad-Adenauer-Stiftung (KAS)","Germany (EU/UK/CH in justified individual cases)","https://www.kas.de/documents/d/begabtenfoerderung-und-kultur/forderrichtlinien_promotionsforderung-25-09-01-250579858-1-","CONDITIONAL (values fit + civic engagement are hard selection criteria)","SCHOLARSHIP (portable)","""Gefördert werden können Graduierte, die an einer staatlichen oder staatlich anerkannten deutschen Hochschule zur Promotion ... zugelassen sind. Die Promotion ... können in besonders begründeten Einzelfällen auch im europäischen Ausland (EU-Länder, Großbritannien, Schweiz) gefördert werden.""","No clause found. Exclusions: ""Nicht gefördert werden können Personen, die für den gleichen Zweck (Promotion ...) und den gleichen Zeitraum aus anderen Mitteln gefördert werden oder wurden; Promotionen in der Schlussphase und Post-Doktoranden-Programme"".","""deren promotionsbefähigender Studienabschluss zum Zeitpunkt des Bewerbungsschlusses nicht länger als fünf Jahre zurückliegt (monatsweise Rechnung)"" -> from Mar 2026, valid to ~Mar 2031. Sept-2025 Richtlinien contain NO age limit (the often-cited 35 is outdated).","""Das Stipendium beträgt höchstens 1.650 Euro im Monat"" + EUR 100/month research allowance. Family supplement EUR 155; child EUR 155 (+50 each further, max 255). Health-insurance subsidy where no statutory membership. Abroad: ""Für gänzlich im europäischen Ausland durchgeführte Promotionen ... gelten Inlandskonditionen""; tuition abroad ""können auf Antrag bezuschusst werden"". NOT covered: social security/pension; paid work >20 h/month bars funding. NOTE kas.de English page still shows EUR 1,550 (outdated).","""Die Förderung endet im Regelfall nach drei Jahren""; +6 months once; max 4.5 years","""Bewerbungsschlusstermine sind der 15. Januar und der 15. Juli eines Jahres, jeweils um 12:00 Uhr MEZ"" -> next 15 Jan 2027 12:00 CET. Annual x2.","PORTABLE","1-5","2026-09-07"
"Promotionsstipendium","Rosa-Luxemburg-Stiftung (Studienwerk)","Germany, other EU states, Switzerland","https://www.rosalux.de/stiftung/studienwerk/stipendienbewerbung","CONDITIONAL (left-political engagement over >=18 months is a hard criterion)","SCHOLARSHIP (portable within DE/EU/CH)","German applicants need ""Promotionszulassung einer Universität, bzw. Hochschule in Deutschland, einem anderen EU Staat oder der Schweiz"".","No exclusion for prior enrolment. FAQ: if a doctorate was previously FUNDED by another institution, that period counts against the RLS 3-year maximum. FLAG: only matters if the 2016-18 Bochum period carried a stipend/post.","FAQ: no age limit. No time-since-degree cap found.","Amount NOT stated on RLS pages opened; BMFTR standard EUR 1,650 + 100/month applies (not verified on an RLS page). NOT covered: employment/social security.","""maximal 3 Jahre Regelförderzeit""","""Bewerbungsschluss ist der 1. Oktober 2026 23:59 Uhr"" (round opened 20 Aug 2026). Second annual round exists (secondary sources give 30 Apr / 1 Apr - RLS page only confirms 1 Oct). ""Es können keine Unterlagen nachgereicht werden!""","PORTABLE","1-5 (medicine excluded)","2026-09-07"
"Promotionsförderung für Deutsche, Bildungsinländer:innen und Geflüchtete","Friedrich-Ebert-Stiftung (FES)","Germany only","https://www.fes.de/studienfoerderung/stipendium/promotionsfoerderung-fuer-deutsche-bildungsinlaender-innen-und-gefluechtete","CONDITIONAL (deadlines not published on page; social-democratic engagement required)","SCHOLARSHIP (tied to a German university)","Eligible are those who ""an einer deutschen Hochschule oder Fachhochschule zur Promotion zugelassen sind""; doctorate at ""einer staatlichen oder staatlich anerkannten deutschen Hochschule"". Doctorate abroad NOT fundable.","No clause found on page.","No age limit on page. Apply ""bis circa zwei Jahre vor Abgabe der Dissertation"".","""monatlich 1650 Euro, sowie eine monatliche Forschungskostenpauschale von 100 Euro"". Health insurance/travel/fees not stated. NOT covered: social security.","""Der Förderzeitraum beträgt in der Regel dreieinhalb Jahre.""","NOT published on the page opened - confirm by e-mail before planning.","PORTABLE within Germany","1-5 (medicine excluded)","2026-09-07"
"Promotionsstipendium","Heinrich-Böll-Stiftung (Studienwerk)","Germany; EU abroad with special justification","https://www.boell.de/de/stipendium-promotion","CONDITIONAL (ecology/sustainability themes have priority - good fit)","SCHOLARSHIP (portable within DE/EU)","For ""Promovierende aus dem Inland (Deutsche, Bildungsinländer*innen)"" the doctorate may be ""in Deutschland oder im EU-Ausland""; footnote: ""Die Förderung von Auslandspromotionen innerhalb der EU ist möglich, bedarf aber bzgl. der Studienort- und Studienfachwahl einer besonderen Begründung.""","No clause found. Stage rule: ""Erste Vorarbeiten des Promotionsvorhabens müssen abgeschlossen sein; valider Zeitplan zur Durchführung muss vorliegen."" ""Abschlussförderung bis zu einem Jahr: Nicht möglich.""","No age limit found; no time-since-degree cap found.","Infoblatt June 2025: ""1550 EUR/Monat Grundstipendium plus 100 EUR mtl. Forschungskostenpauschale"", footnote ""ab 10/2025 1650,00 EUR Grundstipendium/Monat"" -> EUR 1,750/month. Tuition: ""In Deutschland: nicht möglich; im Ausland: in begrenztem Umfang möglich."" NOT covered: social security/pension.","""i.d.R. 3,5 Jahre (drei Jahre Regelförderzeit zzgl. Verlängerungsmöglichkeit um bis zu 6 Monate)""","1 March and 1 September each year. Next: window 15 Jan 2027 - 1 Mar 2027; then 15 Jul - 1 Sep 2027. (1 Sep 2026 round just closed.) Annual x2.","PORTABLE","1-5","2026-09-07"
"Promotionsförderung","Hanns-Seidel-Stiftung (HSS)","Germany","https://www.hss.de/fileadmin/user_upload/HSS/Dokumente/Stipendium/Bewerbung/2025-Richtlinien-Promotion.pdf","CONDITIONAL (CSU-aligned engagement; two-semester probation phase)","SCHOLARSHIP (tied to German university)","""Antragsberechtigt sind deutsche und EU-Studierende sowie Bildungsinländer/-innen (§8 BaföG) mit einem abgeschlossenen Hochschulstudium, das den Zugang zur Promotion eröffnet.""","No clause on prior enrolment. BUT: ""Von der Bewerbung ausgeschlossen sind Bewerber/-innen, die für den gleichen Zweck entweder aus anderen Mitteln gefördert werden oder aus öffentlichen Mitteln bereits bis zur Höchstförderungsdauer (= 3 Jahre) unterstützt worden sind. Die Förderungsdauer (Promotion), die ein Bewerber/eine Bewerberin bereits aus öffentlichen Mitteln gefördert worden ist, wird ... grundsätzlich auf die Gesamtförderungszeit angerechnet."" FLAG: publicly funded 2016-18 time would be deducted.","2025 Richtlinien contain no age limit (the cited ""32"" is absent) - confirm with the Referent.","""Die Höhe der Promotionsstipendien liegt bei monatlich 1.650 EUR zuzüglich einer Forschungskostenpauschale von 100 EUR."" Family EUR 155; child EUR 155 (+50, max 255). Health-insurance subsidy not stated. NOT covered: social security.","3 years subject to ""Probeförderung"" (2 semesters); +6 months; max 4 years","Windows 15 Dec 2026 - 15 Jan 2027 and 15 Jun - 15 Jul 2027. Annual x2.","PORTABLE within Germany","1-5","2026-09-07"
"Promotionsstipendium","Friedrich-Naumann-Stiftung für die Freiheit","Germany, EU, Switzerland","https://www.freiheit.org/de/deutsche-promovierende","CONDITIONAL (liberal-political engagement; 1+1-year funding renewal)","SCHOLARSHIP (portable DE/EU/CH)","No explicit citizenship clause found on page. Funds ""Promotionen an staatlichen oder staatlich anerkannten Hochschulen"" in Germany, Switzerland and the EU; must be ""zur Promotion an einer Hochschule zugelassen"".","No clause found. Excluded: ""Promotionen in der Humanmedizin und Zahnmedizin, Postdoc-Programme, konsekutive Studiengänge, Dissertationen in der Endphase, Projekte"".","No age limit found; no time-since-degree cap found.","""Das Promotionsstipendium beträgt 1.650 EUR monatlich, zusätzlich erhalten Promovierende eine Forschungskostenpauschale in Höhe von 100 EUR monatlich."" Research stay abroad up to 12 months. NOT covered: social security; fees not stated.","""zunächst ein Jahr und kann um ein weiteres Jahr auf Antrag verlängert werden""; beyond 3 years only exceptionally","""jeweils vom 1.-30. April und vom 1.-31. Oktober"" -> next window 1-31 Oct 2026. Annual x2.","PORTABLE","1-5","2026-09-07"
"Promotionsförderung","Cusanuswerk (Catholic Begabtenförderungswerk)","Germany; foreign institution possible for German citizens","https://www.cusanuswerk.de/bewerbung/promovierende/promotion","CONDITIONAL - only if member of the Catholic Church","SCHOLARSHIP (portable, incl. abroad)","German citizens: admission to a recognised domestic or foreign institution. Hard requirement: ""Mitgliedschaft in der katholischen Kirche"" and ""ein gelebter christlicher Glaube und die Bereitschaft, die Kirche mitzugestalten"".","No clause found on pages opened.","No age limit mentioned.","Application page: ""1.750,00 Euro"" (1,650 + 100); funding page still shows outdated ""1.650,00 Euro ... 1.550,00 EUR zzgl. ... 100,00 EUR"" - two pages disagree, 1,750 matches the BMFTR rate. Health insurance: ""50% der Gebühren bis zu max. 100,00 Euro monatlich"". Abroad: ""Reisekosten und Studiengebühren erstattet"". NOT covered: social security.","""max. drei Jahre und sechs Monate""; +12 months illness/childcare","Verfahren I-2027: registration by 1 Nov 2026 (decision Mar 2027); Verfahren II-2027: 1 Jun 2027. Annual x2.","PORTABLE","1-5","2026-09-07"
"Promotionsstipendium","Evangelisches Studienwerk Villigst (Protestant)","Germany; whole doctorate in EU/UK/Norway/Switzerland possible for German citizens","https://www.evstudienwerk.de/stipendium/promotion/faq-haeufig-gestellte-fragen-zum-promotionsstipendium/","CONDITIONAL (church membership, with stated exception route; most age-friendly German work)","SCHOLARSHIP (portable)","""Ja, in begründeten Fällen können deutsche Staatsangehörige an einer Hochschule in einem Mitgliedsstaat der Europäischen Union, in Großbritannien, in Norwegen oder in der Schweiz promovieren."" Church: ""Das Evangelische Studienwerk nimmt in begründeten Ausnahmefällen Promovierende auf, die nicht Mitglied der Evangelischen Kirche sind.""","Q ""Ich bin schon seit mehr als einem Jahr zur Promotion zugelassen, kann ich mich trotzdem bewerben?"" A: ""Sie können sich bewerben, wenn Sie noch nicht länger als ein Jahr an dem Projekt gearbeitet haben (Stichtag: Einreichen der Bewerbung)."" Clock is on the CURRENT project; apply early in the new doctorate.","Q ""Ich bin älter als 35 Jahre. Kann ich mich ... bewerben?"" A: ""Ja. Bitte erläutern Sie im Lebenslauf Gründe für Ihren Wunsch zur Promotion ..."" -> no hard age bar, written justification required.","Amount not on FAQ page; BMFTR standard EUR 1,650 + 100/month applies (not verified on a Villigst page). NOT covered: social security.","3 years, extendable to 3.5 (not verified on page opened)","1 June and 1 December each year -> next 1 Dec 2026 (selection April 2027). Annual x2.","PORTABLE","1-5","2026-09-07"
"Promotionsstipendium","Avicenna-Studienwerk (Muslim)","Germany only","https://www.avicenna-studienwerk.de/stipendium/","CONDITIONAL - only if of Muslim faith","SCHOLARSHIP (tied to German university)","Requires ""Zulassung zur Promotion an einer staatlichen oder staatlich anerkannten deutschen Hochschule"" and ""ein Sprachniveau von C1"". Doctorate entirely abroad not fundable.","No clause on prior enrolment. ""Promotion ist zum Zeitpunkt der Bewerbung in der Anfangszeit""; excluded: ""Eine Bewerbung in der Abschlussphase der Promotion"".","""Gibt es eine Altersgrenze für die Bewerbung zum Stipendium? Nein.""","EUR 1,650 + 100/month (= 1,750). NOT covered: fees, social security.","""zwei Jahre (Regelförderungsdauer)"", extendable to max 4 years","1 April and 1 October each year -> next 1 Oct 2026. Annual x2.","PORTABLE within Germany","1-5","2026-09-07"
