id,name,country,category,url,platform,tenant_id,robots_allows,block_reason,active,last_checked,notes
natur_gl,Greenland Institute of Natural Resources (Pinngortitaleriffik),GL,institute,https://natur.gl/om-os/ledige-stillinger/,wordpress,,,,1,,"Report row 1. Own WordPress vacancy page. Build-sandbox note 2026-09-07: server sent an incomplete TLS chain (missing RapidSSL intermediate), Python TLS may fail -> then open manually."
hav_fo,Faroe Marine Research Institute (Havstovan),FO,institute,,manual,,,"no public vacancy page found (report row 2); recruits via hav.fo announcements, email and Nordic networks",0,,Report row 2.
ku_lt_mri,Klaipeda University Marine Research Institute,LT,institute,https://jti.ku.lt/en,manual,,,no dedicated vacancy feed confirmed (report row 3); institute landing page only,0,,Report row 3. Vacancies via parent-university HR + Lithuanian doctoral admission cycle.
csic_sede,CSIC Sede Electronica - convocatorias de personal (all CSIC marine institutes),ES,national_portal,https://sede.csic.gob.es/tramites/convocatorias-de-personal,csic_sede,,yes,,1,2026-09-07,"Report row 4. Deep link /tramites/convocatorias-de-personal/convocatoria/{ref} taken from listing links, never constructed. Verified 2026-09-07."
icman_csic,ICMAN-CSIC Cadiz - empleo tag,ES,institute,https://www.icman.csic.es/tag/empleo/feed/,rss,,yes,,1,2026-09-07,Report row 5. RSS feed declared on the tag page itself (<link rel=alternate>). Binding calls are on csic_sede.
ulpgc,Universidad de Las Palmas de Gran Canaria - oferta de empleo publico,ES,university,https://www.ulpgc.es/transparencia/oferta-empleo-publico-y-acceso-funcion-publica,manual,,,,1,,"Report row 6. PDF/BOC-based, no parseable feed. robots.txt returned 403 from build sandbox on 2026-09-07."
szn_it,Stazione Zoologica Anton Dohrn - bandi di concorso,IT,institute,https://szn.it/index.php/it/bandi-e-concorsi/bandi-di-concorso,szn_joomla,,,,1,,Report row 7. Joomla. Page structure NOT verifiable from build sandbox (TLS chain failure 2026-09-07); adapter is a stub until verified -> shown as manual link.
ifremer,IFREMER - Reseau de Talents (CareerBuilder / jobs.net),FR,institute,https://ifremer.jobs.net/fr-FR/search,manual,fr-FR,never,report: host disallows automated access; open manually,1,,"Report row 8. talentdetection.com is a marketing microsite, not the ATS. Mirror jobijoba.com/fr/emploi/Ifremer named without full URL -> not added."
kuleuven,KU Leuven - academic staff vacancies,BE,university,https://www.kuleuven.be/personeel/jobsite/jobs/staff?lang=en,kuleuven,Jobsite_academic,yes,,1,2026-09-07,Report row 9. Listing is JS-rendered; adapter reads the search endpoint and project name declared in the page source. Per-posting URL is not exposed there -> posting url = listing page.
unige,Universite de Geneve - postes academiques,CH,university,https://jobs.unige.ch/,unige_wdportal,p_web_site_id=1,yes,,1,2026-09-07,"Report row 10. Follows the page's own meta-refresh to wd_portal.search_start, then the declared 'postes academiques' results link. Verified 2026-09-07."
unil,Universite de Lausanne - travailler a l'UNIL (HIGHEST PRIORITY),CH,university,https://www.unil.ch/unil/en/home/menuinst/travailler.html,manual,"jobs.ch:80608,109340;jobup.ch:33175",never,report: host disallows automated access; open manually. Mirror IDs known but mirror URLs not confirmed in report,1,,Report row 11. Live ERC-funded roles confirmed by report.
rutgers_dmcs,Rutgers Marine & Coastal Sciences - Saba lab open positions,US,university,https://marine.rutgers.edu/saba-research/open-positions/,manual,,,,1,,Report row 12. Single-lab page + direct-to-PI recruitment; central Rutgers careers not confirmed.
dal_ocean,Dalhousie Oceanography - graduate programs,CA,university,https://www.dal.ca/faculty/science/oceanography/GraduatePrograms1.html,manual,,,,1,,"Report row 13. Program page, not a vacancy feed; contact oceanrec@dal.ca per report."
uri_gso,University of Rhode Island - applicant portal (PeopleAdmin),US,university,https://jobs.uri.edu/,peopleadmin,,no,,1,2026-09-07,"Report row 14. Deep link /postings/{id}. Verified 2026-09-07: listing has title, posting no., department, type, open/close dates."
mbl,Marine Biological Laboratory Woods Hole,US,institute,,manual,,,exact careers URL/ATS unconfirmed (report row 15); possibly UChicago Workday,0,,Report row 15.
euraxess,EURAXESS jobs (MSCA Doctoral Networks + ERC-team posts),EU,aggregator,https://euraxess.ec.europa.eu/jobs/search,euraxess,,yes,,1,2026-09-07,"A2. Server-rendered listing, newest first; max_pages per run. Verified 2026-09-07."
cordis,CORDIS - newly funded projects (ERC/MSCA),EU,programme,https://cordis.europa.eu/projects,manual,,,,1,,A2. Not a job board; use to anticipate labs about to recruit.
dfg_phd,DFG - SFB/TRR and Graduiertenkollegs (no central job advertising),DE,programme,https://www.dfg.de/en/research-funding/funding-opportunities/research-careers/phd,manual,,,,1,,A2. Each RTG/SFB advertises itself + EURAXESS + university HR.
mpg_imprs,Max Planck IMPRS directory,DE,programme,https://www.mpg.de/en/imprs,manual,,,,1,,A2. MarMic Bremen at marmic.mpg.de (annual winter intake).
helmholtz_jobs,Helmholtz job portal,DE,aggregator,https://www.helmholtz.de/en/jobs_talent/job_vacancies/,manual,,,,1,,A2. Redirects to /en/search/jobs/ which declares a JSON API (api/v1/en/jobs/) - adapter not yet written.
jobbnorge,Jobbnorge (Norway national portal),NO,aggregator,https://www.jobbnorge.no,jobbnorge,,,,1,,A2. Platform endpoint being researched separately (stub).
vr_se,Vetenskapsradet - own vacancies (funded posts via Varbi/ReachMee),SE,programme,https://www.vr.se/english/about-us/working-for-us/job-vacancies-in-swedish.html,manual,,,,1,,A2. Funded positions surface on university Varbi/ReachMee instances (stubs).
uu_varbi,Uppsala University (Varbi),SE,university,https://uu.varbi.com/en/,varbi,,,,1,,A2 example Varbi instance. Platform endpoint being researched separately (stub).
aka_fi,Research Council of Finland - calls,FI,programme,https://www.aka.fi/en/research-funding/apply-for-funding/calls-for-applications/,manual,,,,1,,A2. Aarresaari portal not verified.
academictransfer,AcademicTransfer (Netherlands),NL,aggregator,https://www.academictransfer.com/en/,manual,,,,1,,A2. JS-heavy listing; adapter not yet written.
myscience_ch,myScience.ch jobs,CH,aggregator,https://www.myscience.ch/en/jobs/search,manual,,,,1,,A2. Returned 403 + /verify bot wall on 2026-09-07 -> manual.
nsf_postdocs,NSF postdoc fellowships,US,programme,https://www.nsf.gov/funding/postdocs,manual,,,,1,,A2. Direct-apply fellowships only.
nserc,NSERC,CA,programme,https://www.nserc-crsng.gc.ca,manual,,,,1,,A2. Portable fellowships; lab positions on host-university sites.
arc_au,ARC / GrantConnect,AU,programme,https://www.grants.gov.au,manual,,,,1,,A2. No ARC job board.
marsden_nz,Marsden Fund (Royal Society Te Aparangi),NZ,programme,https://www.royalsociety.org.nz/what-we-do/funds-and-opportunities/marsden/,manual,,,,1,,A2. Annual round ~Oct/Nov.
jrecin,JREC-IN Portal (Japan),JP,aggregator,https://jrecin.jst.go.jp/seek/SeekTop?ln=1,manual,,,,1,,A2. Adapter not yet written.
ecolog_l,ECOLOG-L (ESA),US,mailing_list,https://esa.org/membership/ecolog/,manual,,,,1,,A2. Subscribe page; archive at community.esa.org is passcode-gated.
euromarine,EuroMarine news (Job category),EU,mailing_list,https://www.euromarinenetwork.eu/news/,manual,,,,1,,A2. Mailchimp newsletter subscribe link in report; website news feed public.
aslo_jobs,ASLO career center (MemberSuite),US,society_board,https://aslo.users.membersuite.com/community/career-center/browse-jobs/allJobs/allCities/allStates,manual,,,,1,,A2. JS application (3 kB shell) -> manual.
agu_jobs,AGU Career Center - RSS (declared on site; US-filtered feed),US,society_board,https://findajob.agu.org/jobsrss/?countrycode=US,rss,,yes,,1,2026-09-07,A2. The only RSS link the site declares is country-filtered to US; HTML list at /jobs/ not yet adapted.
egu_bg_jobs,EGU Biogeosciences division jobs - RSS,EU,society_board,https://www.egu.eu/bg/jobs/rss/,rss,,yes,,1,2026-09-07,A2. RSS declared on https://www.egu.eu/bg/jobs/ (<link rel=alternate>). Verified 2026-09-07.
coastal_list,"Coastal_List (Univ. of Delaware, Google Group)",US,mailing_list,https://groups.google.com/a/udel.edu/g/coastal_list,manual,,,,1,,A2. Google Groups is JS-rendered (1 MB shell) -> manual.
cerf_jobs,CERF job board,US,society_board,https://www.cerf.science/job-board,manual,,,,1,,A2. Listservs member-only; job board public but not yet adapted.
